Geneid,N1,N2,T1,T2,T3,T4
ADGRG2,30,73,92,31,101,72
ADGRG3,11,5,12,8,4,44
ADGRG4,4,38,52,16,52,56
ADGRG5,0,0,71,22,22,79
ADGRG6,78,42,58,65,85,44
ADGRG7,15,10,11,0,9,6
ADGRL1,134,56,197,239,86,223
ADGRL1-AS1,39,24,19,5,0,26
ADGRL2,58,87,75,36,108,115
ADGRL3,75,66,111,107,128,118
ADGRL3_1,0,0,1,2,0,1
ADGRL3-AS1,26,0,3,10,13,14
ADGRL4,0,33,51,64,42,27
ADGRV1,175,191,220,205,190,155
ADH1A,0,4,1,0,4,6
ADH1B,13,18,54,355,28,17
ADH1C,0,0,6,1,10,10
ADH4,0,0,7,4,0,6
ADH5,4,0,2,0,14,6
ADH6,1,0,10,25,20,26
ADH7,0,9,1,11,2,1
ADHFE1,0,31,12,28,30,22
ADI1,0,20,28,20,21,40
ADIG,0,0,2,14,6,16
ADIPOQ,0,9,12,59,20,10
ADIPOQ-AS1,0,7,7,13,7,17
ADIPOR1,1,0,28,30,17,35
ADIPOR2,44,11,44,18,52,49
ADIRF,0,27,3,9,0,0
ADIRF-AS1,0,38,22,5,8,12
ADK,30,11,23,38,26,34
ADM,0,0,3,6,0,9
ADM2,46,13,48,9,30,92
ADM5,0,0,4,8,0,6
ADNP,41,56,60,44,93,81
ADNP2,18,0,8,46,36,42
ADNP-AS1,0,0,3,5,1,9
ADO,0,0,3,2,0,25
ADORA1,0,39,2,5,0,9
ADORA2A,0,0,3,0,1,4
ADORA2A-AS1,41,37,47,18,41,44
ADORA2B,4,8,12,1,8,11
ADORA3,0,1,7,6,1,15
ADPGK,0,0,15,0,5,34
ADPGK-AS1,41,39,16,6,15,17
ADPRH,31,9,14,4,9,17
ADPRHL1,0,0,14,0,9,21
ADPRM,1,9,27,6,25,18
ADPRS,0,15,20,9,31,27
ADRA1A,76,6,52,63,27,48
ADRA1B,44,0,1,5,0,20
ADRA1D,0,0,6,3,5,24
ADRA2A,82,0,5,12,0,16
ADRA2B,0,0,15,13,27,21
ADRA2C,0,15,3,15,0,8
ADRB1,23,22,57,27,38,65
ADRB2,20,0,6,0,0,7
ADRB3,0,0,23,8,0,33
ADRM1,15,0,5,21,0,23
ADSL,2,32,78,42,56,59
ADSS1,0,0,7,5,0,36
